node	length	depth	copy_number
1341	1	0	0.45
1342	1	0	0.45
1343	1	0	0.45
1344	2	0	0.45
1345	2	0	0.45
1346	1	0	0.45
1347	1	0	0.45
1348	1	0	0.45
1349	101	7.658415842	1.165841584
1350	1	15	1.9
1351	1	0	0.45
1352	42	15	1.9
1353	1	15	1.9
1354	1	0	0.45
1355	1	15	1.9
1356	2	15	1.9
1357	1	14	1.8
1358	1	14	1.8
1359	1	0	0.45
1360	1	13	1.7
1361	6	13	1.7
1362	6	0	0.45
1363	1	12	1.6
1364	1	7	1.1
1365	1	5	0.9
1366	2	12	1.6
1367	1	12	1.6
1368	1	0	0.45
1369	1	12	1.6
1370	2	0	0.45
1371	4	12	1.6
1372	3	12	1.6
1373	1	0	0.45
1374	1	0	0.45
1375	3	0	0.45
1376	1	0	0.45
1377	1	0	0.45
1378	1	0	0.45
1379	2	0	0.45
1380	2	0	0.45
1381	1	0	0.45
1382	5	0	0.45
1383	5	0	0.45
1384	59	0	0.45
1385	1	0	0.45
1386	5	0	0.45
1387	1	0	0.45
1388	3	0	0.45
1389	3	0	0.45
1390	2	0	0.45
1391	1	0	0.45
1392	1	0	0.45
1393	4	0	0.45
1394	2	0	0.45
1395	1	0	0.45
1396	1	0	0.45
1397	1	0	0.45
1398	2	0	0.45
1399	1	0	0.45
1400	1	0	0.45
1401	1	0	0.45
1402	1	0	0.45
1403	1	0	0.45
1404	2	0	0.45
1405	1	0	0.45
1406	1	0	0.45
1407	4	0	0.45
1408	4	0	0.45
1409	4	0	0.45
1410	4	0	0.45
1411	191	0	0.45
1412	1	0	0.45
1413	1	0	0.45
1414	1	0	0.45
1415	2	0	0.45
1416	20	0	0.45
1417	2	0	0.45
1418	2	0	0.45
1419	1	0	0.45
1420	1	0	0.45
1421	1	0	0.45
1422	1	0	0.45
1423	1	0	0.45
1424	1	0	0.45
1425	13	0	0.45
1426	2	0	0.45
1427	2	0	0.45
1428	1	0	0.45
1429	2	0	0.45
1430	2	0	0.45
1431	28	0	0.45
1432	2	0	0.45
1433	2	0	0.45
1434	1	0	0.45
1435	14	0	0.45
1436	1	0	0.45
1437	2	0	0.45
1438	2	0	0.45
1439	2	0	0.45
1440	3	0	0.45
1441	2	0	0.45
1442	2	0	0.45
1443	1	0	0.45
1444	3	0	0.45
1445	3	0	0.45
1446	2	0	0.45
1447	1	0	0.45
1448	1	0	0.45
1449	1	0	0.45
1450	3	0	0.45
1451	1	0	0.45
1452	1	0	0.45
1453	1	0	0.45
1454	3	0	0.45
1455	1	0	0.45
1456	4	0	0.45
1457	4	0	0.45
1458	85	0	0.45
1459	37	0	0.45
1460	62	0	0.45
1461	1	0	0.45
1462	1	0	0.45
1463	1	0	0.45
1464	2	0	0.45
1465	62	0	0.45
1466	80	0	0.45
1467	6	0	0.45
1468	6	0	0.45
1469	1	0	0.45
1470	1	0	0.45
1471	1	0	0.45
1472	1	0	0.45
1473	1	0	0.45
1474	2	0	0.45
1475	1	0	0.45
1476	1	0	0.45
1477	2	0	0.45
1478	3	0	0.45
1479	3	0	0.45
1480	1	0	0.45
1481	1	0	0.45
1482	1	0	0.45
1483	1	0	0.45
1484	3	0	0.45
1485	1	0	0.45
1486	1	0	0.45
1487	1	0	0.45
1488	2	0	0.45
1489	3	0	0.45
1490	3	0	0.45
1491	167	0	0.45
1492	1	0	0.45
1493	1	0	0.45
1494	1	0	0.45
1495	5	0	0.45
1496	5	0	0.45
1497	1	0	0.45
1498	1	0	0.45
1499	1	0	0.45
1500	151	0	0.45
1501	1	0	0.45
1502	1	0	0.45
1503	3	0	0.45
1504	1	0	0.45
1505	1	0	0.45
1506	66	0	0.45
1507	301	0	0.45
1508	2	0	0.45
1509	2	0	0.45
1510	2	0	0.45
1511	2	0	0.45
1512	1	0	0.45
1513	1	0	0.45
1514	1	0	0.45
1515	65	0	0.45
1516	1	0	0.45
1517	1	0	0.45
1518	62	0	0.45
1519	1	0	0.45
1520	1	0	0.45
1521	1	0	0.45
1522	1	0	0.45
1523	1	0	0.45
1524	2	0	0.45
1525	1	0	0.45
1526	3	0	0.45
1527	3	0	0.45
1528	1	0	0.45
1529	2	0	0.45
1530	2	0	0.45
1531	2	0	0.45
1532	1	0	0.45
1533	1	0	0.45
1534	1	0	0.45
1535	1	0	0.45
1536	3	0	0.45
1537	4	0	0.45
1538	2	0	0.45
1539	1	0	0.45
1540	2	0	0.45
1541	3	14.33333333	1.833333333
1542	3	0	0.45
1543	48	24.25	2.825
1544	1	0	0.45
1545	2	31	3.5
1546	3	32	3.6
1547	3	0	0.45
1548	1	33	3.7
1549	5	34	3.8
1550	5	0	0.45
1551	1	34	3.8
1552	2	34	3.8
1553	2	0	0.45
1554	1	34	3.8
1555	2	34	3.8
1556	2	0	0.45
1557	1	34	3.8
1558	1	34	3.8
1559	1	0	0.45
1560	82	40.21341463	4.421341463
1561	43	42.03488372	4.603488372
1562	1	0	0.45
1563	1	43	4.7
1564	65	35.54615385	3.954615385
1565	1	30	3.4
1566	1	0	0.45
1567	10	31.5	3.55
1568	78	0	0.45
1569	1	0	0.45
1570	1	31	3.5
1571	2	31	3.5
1572	2	0	0.45
1573	1	30	3.4
1574	75	27.34	3.134
1575	30	27.55	3.155
1576	3	25	2.9
1577	3	0	0.45
1578	1	25	2.9
1579	1	25	2.9
1580	1	0	0.45
1581	1	25	2.9
1582	7	25	2.9
1583	7	0	0.45
1584	1	25	2.9
1585	1	25	2.9
1586	1	0	0.45
1587	1	25	2.9
1588	5	26	3
1589	5	0	0.45
1590	3	26	3
1591	2	26	3
1592	2	0	0.45
1593	2	26	3
1594	4	26	3
1595	4	0	0.45
1596	23	29	3.3
1597	1	0	0.45
1598	1	27	3.1
1599	19	28.15789474	3.215789474
1600	1	29	3.3
1601	1	0	0.45
1602	75	29.24	3.324
1603	1	29	3.3
1604	1	0	0.45
1605	4	29	3.3
1606	3	28	3.2
1607	3	0	0.45
1608	2	30	3.4
1609	1	28	3.2
1610	1	0	0.45
1611	1	27	3.1
1612	5	27.7	3.17
1613	5	0	0.45
1614	1	27	3.1
1615	5	27	3.1
1616	5	0	0.45
1617	85	23.44705882	2.744705882
1618	39	21.58974359	2.558974359
1619	1	15	1.9
1620	1	0	0.45
1621	21	13.4047619	1.74047619
1622	1	7	1.1
1623	1	0	0.45
1624	30	7	1.1
1625	4	7	1.1
1626	4	0	0.45
1627	23	7	1.1
1628	1	0	0.45
1629	2	0	0.45
1630	1	7	1.1
1631	1	7	1.1
1632	2	7	1.1
1633	2	0	0.45
1634	1	7	1.1
1635	1	7	1.1
1636	1	0	0.45
1637	1	7	1.1
1638	1	7	1.1
1639	1	0	0.45
1640	1	7	1.1
1641	16	7	1.1
1642	16	0	0.45
1643	1	7	1.1
1644	2	7	1.1
1645	2	0	0.45
1646	53	3.952830189	0.7952830189
1647	2	1	0.5
1648	1	1	0.5
1649	1	0	0.45
1650	1	1	0.5
1651	68	0	0.45
1652	1	1	0.5
1653	1	1	0.5
1654	1	0	0.45
1655	19	1	0.5
1656	2	1	0.5
1657	2	0	0.45
1658	3	1	0.5
1659	68	0	0.45
1660	2	1	0.5
1661	1	2	0.6
1662	1	0	0.45
1663	2	2	0.6
1664	1	2	0.6
1665	1	0	0.45
1666	2	2	0.6
1667	1	2	0.6
1668	1	0	0.45
1669	3	2	0.6
1670	1	2	0.6
1671	1	0	0.45
1672	3	2	0.6
1673	1	2	0.6
1674	1	0	0.45
1675	2	2	0.6
1676	1	2	0.6
1677	1	0	0.45
1678	3	3	0.7
1679	1	3	0.7
1680	1	0	0.45
1681	2	3	0.7
1682	1	3	0.7
1683	1	0	0.45
1684	2	3	0.7
1685	1	3	0.7
1686	1	0	0.45
1687	2	4	0.8
1688	68	15.25	1.925
1689	3	19	2.3
1690	2	19	2.3
1691	2	0	0.45
1692	14	19	2.3
1693	68	19	2.3
1694	5	19	2.3
1695	1	19	2.3
1696	1	0	0.45
1697	1	19	2.3
1698	1	19	2.3
1699	1	0	0.45
1700	1	0	0.45
1701	1	19	2.3
1702	2	19	2.3
1703	200	0	0.45
1704	97	8.391752577	1.239175258
